run_id,size_x,size_y,csv_path,run_dir
size_10x10_run_001_seed_123,10,10,outputs/size_10x10_run_001_seed_123/conversion_history.csv,outputs/size_10x10_run_001_seed_123
size_20x20_run_002_seed_123,20,20,outputs/size_20x20_run_002_seed_123/conversion_history.csv,outputs/size_20x20_run_002_seed_123
size_30x30_run_003_seed_123,30,30,outputs/size_30x30_run_003_seed_123/conversion_history.csv,outputs/size_30x30_run_003_seed_123
size_40x40_run_004_seed_123,40,40,outputs/size_40x40_run_004_seed_123/conversion_history.csv,outputs/size_40x40_run_004_seed_123
size_50x50_run_005_seed_123,50,50,outputs/size_50x50_run_005_seed_123/conversion_history.csv,outputs/size_50x50_run_005_seed_123
size_60x60_run_006_seed_123,60,60,outputs/size_60x60_run_006_seed_123/conversion_history.csv,outputs/size_60x60_run_006_seed_123
size_70x70_run_007_seed_123,70,70,outputs/size_70x70_run_007_seed_123/conversion_history.csv,outputs/size_70x70_run_007_seed_123
size_80x80_run_008_seed_123,80,80,outputs/size_80x80_run_008_seed_123/conversion_history.csv,outputs/size_80x80_run_008_seed_123
size_90x90_run_009_seed_123,90,90,outputs/size_90x90_run_009_seed_123/conversion_history.csv,outputs/size_90x90_run_009_seed_123
size_100x100_run_010_seed_123,100,100,outputs/size_100x100_run_010_seed_123/conversion_history.csv,outputs/size_100x100_run_010_seed_123
