run_id,sigma,time,conversion
size_80x80_sigma_0.8_seed_123,0.8,5.0233742489865e-08,0.0
size_80x80_sigma_0.8_seed_123,0.8,2.7967559715305964e-07,0.0
size_80x80_sigma_0.8_seed_123,0.8,4.493718168098078e-07,0.0
size_80x80_sigma_0.8_seed_123,0.8,6.351313565208614e-07,0.0
size_80x80_sigma_0.8_seed_123,0.8,6.748145705846306e-07,0.0
size_80x80_sigma_0.8_seed_123,0.8,7.045692709132556e-07,0.0
size_80x80_sigma_0.8_seed_123,0.8,9.440296056464597e-07,0.0
size_80x80_sigma_0.8_seed_123,0.8,1.5074008212838148e-06,0.0
size_80x80_sigma_0.8_seed_123,0.8,1.5188241490379814e-06,0.0
size_80x80_sigma_0.8_seed_123,0.8,1.7237257248643834e-06,0.0
size_80x80_sigma_0.8_seed_123,0.8,1.8968679353539904e-06,0.0
size_80x80_sigma_0.8_seed_123,0.8,1.9834801385916664e-06,0.0
size_80x80_sigma_0.8_seed_123,0.8,2.1785676819497664e-06,0.0
size_80x80_sigma_0.8_seed_123,0.8,2.7567271812640537e-06,0.0
size_80x80_sigma_0.8_seed_123,0.8,2.8607753952230983e-06,0.0
size_80x80_sigma_0.8_seed_123,0.8,2.9937296206772622e-06,0.0
size_80x80_sigma_0.8_seed_123,0.8,3.0186816345785316e-06,0.0
size_80x80_sigma_0.8_seed_123,0.8,3.115264613626275e-06,0.0
size_80x80_sigma_0.8_seed_123,0.8,3.230858329971744e-06,0.0
size_80x80_sigma_0.8_seed_123,0.8,3.2969052867809145e-06,0.0
size_80x80_sigma_0.8_seed_123,0.8,3.3983982472562898e-06,0.0
size_80x80_sigma_0.8_seed_123,0.8,3.7731865302693592e-06,0.0
size_80x80_sigma_0.8_seed_123,0.8,3.815169962155998e-06,0.0
size_80x80_sigma_0.8_seed_123,0.8,3.854965302229754e-06,0.0
size_80x80_sigma_0.8_seed_123,0.8,4.025427380516661e-06,0.0
size_80x80_sigma_0.8_seed_123,0.8,4.040958338158347e-06,0.0
size_80x80_sigma_0.8_seed_123,0.8,4.073464310624934e-06,0.0
size_80x80_sigma_0.8_seed_123,0.8,4.198146959787853e-06,0.0
size_80x80_sigma_0.8_seed_123,0.8,4.449557278820583e-06,0.0
size_80x80_sigma_0.8_seed_123,0.8,4.471959060673819e-06,0.0
size_80x80_sigma_0.8_seed_123,0.8,4.537753722735791e-06,0.0
size_80x80_sigma_0.8_seed_123,0.8,4.820318257967888e-06,0.0
size_80x80_sigma_0.8_seed_123,0.8,5.030953387447233e-06,0.0
size_80x80_sigma_0.8_seed_123,0.8,5.1044435329707655e-06,0.0
size_80x80_sigma_0.8_seed_123,0.8,5.288522921886401e-06,0.0
size_80x80_sigma_0.8_seed_123,0.8,5.345143852778218e-06,0.0
size_80x80_sigma_0.8_seed_123,0.8,5.462191634658493e-06,0.0
size_80x80_sigma_0.8_seed_123,0.8,5.566634167035335e-06,0.0
size_80x80_sigma_0.8_seed_123,0.8,5.7997089195800825e-06,0.0
size_80x80_sigma_0.8_seed_123,0.8,5.802566591198449e-06,0.0
size_80x80_sigma_0.8_seed_123,0.8,5.815928702057014e-06,0.0
size_80x80_sigma_0.8_seed_123,0.8,6.083540618915278e-06,0.0
size_80x80_sigma_0.8_seed_123,0.8,6.204832443985092e-06,0.0
size_80x80_sigma_0.8_seed_123,0.8,6.370415351742605e-06,0.0
size_80x80_sigma_0.8_seed_123,0.8,6.4380879699319795e-06,0.0
size_80x80_sigma_0.8_seed_123,0.8,6.45088540708217e-06,0.0
size_80x80_sigma_0.8_seed_123,0.8,6.467716619754504e-06,0.0
size_80x80_sigma_0.8_seed_123,0.8,6.511506807704589e-06,0.0
size_80x80_sigma_0.8_seed_123,0.8,6.7401347512881805e-06,0.0
size_80x80_sigma_0.8_seed_123,0.8,6.865202370446279e-06,0.0
size_80x80_sigma_0.8_seed_123,0.8,6.99053426478208e-06,0.0
size_80x80_sigma_0.8_seed_123,0.8,6.996907232524526e-06,0.0
size_80x80_sigma_0.8_seed_123,0.8,7.096105341857611e-06,0.0
size_80x80_sigma_0.8_seed_123,0.8,7.311476097552267e-06,0.0
size_80x80_sigma_0.8_seed_123,0.8,7.460470614063236e-06,0.0
size_80x80_sigma_0.8_seed_123,0.8,7.485270412935396e-06,0.0
size_80x80_sigma_0.8_seed_123,0.8,7.931334157766616e-06,0.0
size_80x80_sigma_0.8_seed_123,0.8,7.972590277247444e-06,0.0
size_80x80_sigma_0.8_seed_123,0.8,8.101196729897054e-06,0.0
size_80x80_sigma_0.8_seed_123,0.8,8.12752389025041e-06,0.0
size_80x80_sigma_0.8_seed_123,0.8,8.255598821646081e-06,0.0
size_80x80_sigma_0.8_seed_123,0.8,8.306848790357659e-06,0.0
size_80x80_sigma_0.8_seed_123,0.8,8.364538700785985e-06,0.0
size_80x80_sigma_0.8_seed_123,0.8,8.965909045100137e-06,0.0
size_80x80_sigma_0.8_seed_123,0.8,9.094582888999371e-06,0.0
size_80x80_sigma_0.8_seed_123,0.8,9.274866839123559e-06,0.0
size_80x80_sigma_0.8_seed_123,0.8,9.279571691031887e-06,0.0
size_80x80_sigma_0.8_seed_123,0.8,9.305072280812601e-06,0.0
size_80x80_sigma_0.8_seed_123,0.8,9.341410904325264e-06,0.0
size_80x80_sigma_0.8_seed_123,0.8,9.95380043482744e-06,0.0
size_80x80_sigma_0.8_seed_123,0.8,1.0047119382807792e-05,0.0
size_80x80_sigma_0.8_seed_123,0.8,1.0207684824165287e-05,0.0
size_80x80_sigma_0.8_seed_123,0.8,1.0330646249884335e-05,0.0
size_80x80_sigma_0.8_seed_123,0.8,1.036794472662147e-05,0.0
size_80x80_sigma_0.8_seed_123,0.8,1.04367271632261e-05,0.0
size_80x80_sigma_0.8_seed_123,0.8,1.0572380631019289e-05,0.0
size_80x80_sigma_0.8_seed_123,0.8,1.075210836210054e-05,0.0
size_80x80_sigma_0.8_seed_123,0.8,1.076202939159549e-05,0.0
size_80x80_sigma_0.8_seed_123,0.8,1.0822467847196016e-05,0.0
size_80x80_sigma_0.8_seed_123,0.8,1.1179613617819094e-05,0.0
size_80x80_sigma_0.8_seed_123,0.8,1.119806500893766e-05,0.0
size_80x80_sigma_0.8_seed_123,0.8,1.160271496289105e-05,0.0
size_80x80_sigma_0.8_seed_123,0.8,1.2058585792077464e-05,0.0
size_80x80_sigma_0.8_seed_123,0.8,1.2077532451396973e-05,0.0
size_80x80_sigma_0.8_seed_123,0.8,1.2138007349002466e-05,0.0
size_80x80_sigma_0.8_seed_123,0.8,1.2317039973437133e-05,0.0
size_80x80_sigma_0.8_seed_123,0.8,1.2423901225697535e-05,0.0
size_80x80_sigma_0.8_seed_123,0.8,1.2535386762865318e-05,0.0
size_80x80_sigma_0.8_seed_123,0.8,1.2878500286429748e-05,0.0
size_80x80_sigma_0.8_seed_123,0.8,1.3053211430617245e-05,0.0
size_80x80_sigma_0.8_seed_123,0.8,1.3614950031740185e-05,0.0
size_80x80_sigma_0.8_seed_123,0.8,1.3719284883391219e-05,0.0
size_80x80_sigma_0.8_seed_123,0.8,1.4164201187659445e-05,0.0
size_80x80_sigma_0.8_seed_123,0.8,1.5450002970780102e-05,0.0
size_80x80_sigma_0.8_seed_123,0.8,1.565458867418591e-05,0.0
size_80x80_sigma_0.8_seed_123,0.8,1.571817215768836e-05,0.0
size_80x80_sigma_0.8_seed_123,0.8,1.583975125343449e-05,0.0
size_80x80_sigma_0.8_seed_123,0.8,1.607289751787632e-05,0.0
size_80x80_sigma_0.8_seed_123,0.8,1.6512224011952245e-05,0.0
size_80x80_sigma_0.8_seed_123,0.8,1.6801146071568934e-05,0.0
size_80x80_sigma_0.8_seed_123,0.8,1.7057614921435267e-05,0.0
size_80x80_sigma_0.8_seed_123,0.8,1.7677523092920454e-05,0.0
size_80x80_sigma_0.8_seed_123,0.8,1.7951530383856166e-05,0.0
size_80x80_sigma_0.8_seed_123,0.8,1.8158541356204105e-05,0.0
size_80x80_sigma_0.8_seed_123,0.8,1.8224394759915522e-05,0.0
size_80x80_sigma_0.8_seed_123,0.8,1.828412505380527e-05,0.0
size_80x80_sigma_0.8_seed_123,0.8,1.8505984736959266e-05,0.0
size_80x80_sigma_0.8_seed_123,0.8,1.8653400461899358e-05,0.0
size_80x80_sigma_0.8_seed_123,0.8,1.8684514376493066e-05,0.0
size_80x80_sigma_0.8_seed_123,0.8,1.8780039076332454e-05,0.0
size_80x80_sigma_0.8_seed_123,0.8,1.9325273646219598e-05,0.0
size_80x80_sigma_0.8_seed_123,0.8,1.9373712617941655e-05,0.0
size_80x80_sigma_0.8_seed_123,0.8,1.9552989279257873e-05,0.0
size_80x80_sigma_0.8_seed_123,0.8,1.9683867921405926e-05,0.0
size_80x80_sigma_0.8_seed_123,0.8,1.9766521082625755e-05,0.0
size_80x80_sigma_0.8_seed_123,0.8,1.9880800969738197e-05,0.0
size_80x80_sigma_0.8_seed_123,0.8,1.9909029803021733e-05,0.0
size_80x80_sigma_0.8_seed_123,0.8,1.99208041572291e-05,0.0
size_80x80_sigma_0.8_seed_123,0.8,1.998705176357193e-05,0.0
size_80x80_sigma_0.8_seed_123,0.8,2.0236736424869013e-05,0.0
size_80x80_sigma_0.8_seed_123,0.8,2.0468614460077364e-05,0.0
size_80x80_sigma_0.8_seed_123,0.8,2.0681387520416944e-05,0.0
size_80x80_sigma_0.8_seed_123,0.8,2.0875491374441193e-05,0.0
size_80x80_sigma_0.8_seed_123,0.8,2.1070028097152277e-05,0.0
size_80x80_sigma_0.8_seed_123,0.8,2.1211761596742368e-05,0.0
size_80x80_sigma_0.8_seed_123,0.8,2.128137630619367e-05,0.0
size_80x80_sigma_0.8_seed_123,0.8,2.1356974492930896e-05,0.0
size_80x80_sigma_0.8_seed_123,0.8,2.145505976530635e-05,0.0
size_80x80_sigma_0.8_seed_123,0.8,2.174186448063143e-05,0.0
size_80x80_sigma_0.8_seed_123,0.8,2.2104462668570072e-05,0.0
size_80x80_sigma_0.8_seed_123,0.8,2.2142874590795018e-05,0.0
size_80x80_sigma_0.8_seed_123,0.8,2.268137700315684e-05,0.0
size_80x80_sigma_0.8_seed_123,0.8,2.3027318893425736e-05,0.0
size_80x80_sigma_0.8_seed_123,0.8,2.3094640837711702e-05,0.0
size_80x80_sigma_0.8_seed_123,0.8,2.3119072573708053e-05,0.0
size_80x80_sigma_0.8_seed_123,0.8,2.338428486047386e-05,0.0
size_80x80_sigma_0.8_seed_123,0.8,2.3632757004501405e-05,0.0
size_80x80_sigma_0.8_seed_123,0.8,2.3970970890211454e-05,0.0
size_80x80_sigma_0.8_seed_123,0.8,2.4201316162487423e-05,0.0
size_80x80_sigma_0.8_seed_123,0.8,2.428915478349388e-05,0.0
size_80x80_sigma_0.8_seed_123,0.8,2.4482645592302196e-05,0.0
size_80x80_sigma_0.8_seed_123,0.8,2.4560315187885345e-05,0.0
size_80x80_sigma_0.8_seed_123,0.8,2.4939828091118422e-05,0.0
size_80x80_sigma_0.8_seed_123,0.8,2.5621890017651342e-05,0.0
size_80x80_sigma_0.8_seed_123,0.8,2.5959728854061106e-05,0.0
size_80x80_sigma_0.8_seed_123,0.8,2.6170086272023764e-05,0.0
size_80x80_sigma_0.8_seed_123,0.8,2.625889937952615e-05,0.0
size_80x80_sigma_0.8_seed_123,0.8,2.6273036934189984e-05,0.0
size_80x80_sigma_0.8_seed_123,0.8,2.63049629591154e-05,0.0
size_80x80_sigma_0.8_seed_123,0.8,2.648105637391049e-05,0.0
size_80x80_sigma_0.8_seed_123,0.8,2.6699684601572852e-05,0.0
size_80x80_sigma_0.8_seed_123,0.8,2.6918027853409712e-05,0.0
size_80x80_sigma_0.8_seed_123,0.8,2.7135785969671925e-05,0.0
size_80x80_sigma_0.8_seed_123,0.8,2.7259212316077145e-05,0.0
size_80x80_sigma_0.8_seed_123,0.8,2.753020877457777e-05,0.0
size_80x80_sigma_0.8_seed_123,0.8,2.7616861236563976e-05,0.0
size_80x80_sigma_0.8_seed_123,0.8,2.764833036825612e-05,0.0
size_80x80_sigma_0.8_seed_123,0.8,2.781269911071196e-05,0.0
size_80x80_sigma_0.8_seed_123,0.8,2.8220421523583346e-05,0.0
size_80x80_sigma_0.8_seed_123,0.8,2.8867919568918126e-05,0.0
size_80x80_sigma_0.8_seed_123,0.8,2.888430162139831e-05,0.0
size_80x80_sigma_0.8_seed_123,0.8,2.9060786761165612e-05,0.0
size_80x80_sigma_0.8_seed_123,0.8,2.911872547841338e-05,0.0
size_80x80_sigma_0.8_seed_123,0.8,2.9223607223572407e-05,0.0
size_80x80_sigma_0.8_seed_123,0.8,2.9509701463645048e-05,0.0
size_80x80_sigma_0.8_seed_123,0.8,2.972223830445235e-05,0.0
size_80x80_sigma_0.8_seed_123,0.8,2.9989688768157618e-05,0.0
size_80x80_sigma_0.8_seed_123,0.8,3.0129397735353762e-05,0.0
size_80x80_sigma_0.8_seed_123,0.8,3.0264582128581196e-05,0.0
size_80x80_sigma_0.8_seed_123,0.8,3.093395485268166e-05,0.0
size_80x80_sigma_0.8_seed_123,0.8,3.1542409563433194e-05,0.0
size_80x80_sigma_0.8_seed_123,0.8,3.1978142715580284e-05,0.0
size_80x80_sigma_0.8_seed_123,0.8,3.199245967025406e-05,0.0
size_80x80_sigma_0.8_seed_123,0.8,3.229611919361106e-05,0.0
size_80x80_sigma_0.8_seed_123,0.8,3.260853099777522e-05,0.0
size_80x80_sigma_0.8_seed_123,0.8,3.292152896744806e-05,0.0
size_80x80_sigma_0.8_seed_123,0.8,3.328811332401811e-05,0.0
size_80x80_sigma_0.8_seed_123,0.8,3.34297575050681e-05,0.0
size_80x80_sigma_0.8_seed_123,0.8,3.3670108584246833e-05,0.0
size_80x80_sigma_0.8_seed_123,0.8,3.387425422041909e-05,0.0
size_80x80_sigma_0.8_seed_123,0.8,3.39660224265186e-05,0.0
size_80x80_sigma_0.8_seed_123,0.8,3.4267174393503526e-05,0.0
size_80x80_sigma_0.8_seed_123,0.8,3.443657313859063e-05,0.0
size_80x80_sigma_0.8_seed_123,0.8,3.472098948114943e-05,0.0
size_80x80_sigma_0.8_seed_123,0.8,3.501697487377022e-05,0.0
size_80x80_sigma_0.8_seed_123,0.8,3.506935243487086e-05,0.0
size_80x80_sigma_0.8_seed_123,0.8,3.522725267097105e-05,0.0
size_80x80_sigma_0.8_seed_123,0.8,3.545681290277207e-05,0.0
size_80x80_sigma_0.8_seed_123,0.8,3.5601467273671606e-05,0.0
size_80x80_sigma_0.8_seed_123,0.8,3.584617736376962e-05,0.0
size_80x80_sigma_0.8_seed_123,0.8,3.595535219042097e-05,0.0
size_80x80_sigma_0.8_seed_123,0.8,3.627740544478773e-05,0.0
size_80x80_sigma_0.8_seed_123,0.8,3.6962752255609905e-05,0.0
size_80x80_sigma_0.8_seed_123,0.8,3.715557078280566e-05,0.0
size_80x80_sigma_0.8_seed_123,0.8,3.727315196698066e-05,0.0
size_80x80_sigma_0.8_seed_123,0.8,3.751946791152067e-05,0.0
size_80x80_sigma_0.8_seed_123,0.8,3.798952809696898e-05,0.0
size_80x80_sigma_0.8_seed_123,0.8,3.858547161130687e-05,0.0
size_80x80_sigma_0.8_seed_123,0.8,3.882787673321016e-05,0.0
size_80x80_sigma_0.8_seed_123,0.8,3.9245468408571866e-05,0.0
size_80x80_sigma_0.8_seed_123,0.8,3.9457952285984455e-05,0.0
size_80x80_sigma_0.8_seed_123,0.8,3.9925680702073994e-05,0.0
size_80x80_sigma_0.8_seed_123,0.8,4.0497612537585814e-05,0.0
size_80x80_sigma_0.8_seed_123,0.8,4.093044817271532e-05,0.0
size_80x80_sigma_0.8_seed_123,0.8,4.102308646137398e-05,0.0
size_80x80_sigma_0.8_seed_123,0.8,4.102702095580692e-05,0.0
size_80x80_sigma_0.8_seed_123,0.8,4.152281015688525e-05,0.0
size_80x80_sigma_0.8_seed_123,0.8,4.2977682217559814e-05,0.0
size_80x80_sigma_0.8_seed_123,0.8,4.308663119267405e-05,0.0
size_80x80_sigma_0.8_seed_123,0.8,4.329531610817058e-05,0.0
size_80x80_sigma_0.8_seed_123,0.8,4.359765529711042e-05,0.0
size_80x80_sigma_0.8_seed_123,0.8,4.400900547326512e-05,0.0
size_80x80_sigma_0.8_seed_123,0.8,4.4067129912449806e-05,0.0
size_80x80_sigma_0.8_seed_123,0.8,4.4610010248850096e-05,0.0
size_80x80_sigma_0.8_seed_123,0.8,4.486058315023878e-05,0.0
size_80x80_sigma_0.8_seed_123,0.8,4.5172784564572096e-05,0.0
size_80x80_sigma_0.8_seed_123,0.8,4.556961972007908e-05,0.0
size_80x80_sigma_0.8_seed_123,0.8,4.568187783253947e-05,0.0
size_80x80_sigma_0.8_seed_123,0.8,4.618119143537177e-05,0.0
size_80x80_sigma_0.8_seed_123,0.8,4.6452451410998386e-05,0.0
size_80x80_sigma_0.8_seed_123,0.8,4.720429891334616e-05,0.0
size_80x80_sigma_0.8_seed_123,0.8,4.720531080940805e-05,0.0
size_80x80_sigma_0.8_seed_123,0.8,4.720546722500169e-05,0.0
size_80x80_sigma_0.8_seed_123,0.8,4.747628581415215e-05,0.0
size_80x80_sigma_0.8_seed_123,0.8,4.753258896065803e-05,0.0
size_80x80_sigma_0.8_seed_123,0.8,4.7889864242891826e-05,0.0
size_80x80_sigma_0.8_seed_123,0.8,4.815914756171601e-05,0.0
size_80x80_sigma_0.8_seed_123,0.8,4.835309002079816e-05,0.0
size_80x80_sigma_0.8_seed_123,0.8,4.94047527137412e-05,0.0
size_80x80_sigma_0.8_seed_123,0.8,4.951942480396641e-05,0.0
size_80x80_sigma_0.8_seed_123,0.8,4.9556656239747125e-05,0.0
size_80x80_sigma_0.8_seed_123,0.8,4.981014450543391e-05,0.0
size_80x80_sigma_0.8_seed_123,0.8,5.009306731277487e-05,0.0
size_80x80_sigma_0.8_seed_123,0.8,5.0299830092997385e-05,0.0
size_80x80_sigma_0.8_seed_123,0.8,5.095207997854478e-05,0.0
size_80x80_sigma_0.8_seed_123,0.8,5.150718264303071e-05,0.0
size_80x80_sigma_0.8_seed_123,0.8,5.189734538391355e-05,0.0
size_80x80_sigma_0.8_seed_123,0.8,5.21410745195023e-05,0.0
size_80x80_sigma_0.8_seed_123,0.8,5.311037061522321e-05,0.0
size_80x80_sigma_0.8_seed_123,0.8,5.380060296164653e-05,0.0
size_80x80_sigma_0.8_seed_123,0.8,5.411081755165091e-05,0.0
size_80x80_sigma_0.8_seed_123,0.8,5.440619505923609e-05,0.0
size_80x80_sigma_0.8_seed_123,0.8,5.470137016417689e-05,0.0
size_80x80_sigma_0.8_seed_123,0.8,5.65668097832582e-05,0.0
size_80x80_sigma_0.8_seed_123,0.8,5.872335433640978e-05,0.0
size_80x80_sigma_0.8_seed_123,0.8,5.94689184777882e-05,0.0
size_80x80_sigma_0.8_seed_123,0.8,5.964787131296069e-05,0.0
size_80x80_sigma_0.8_seed_123,0.8,6.008948749632126e-05,0.0
size_80x80_sigma_0.8_seed_123,0.8,6.065388918433885e-05,0.0
size_80x80_sigma_0.8_seed_123,0.8,6.14651057571017e-05,0.0
size_80x80_sigma_0.8_seed_123,0.8,6.191872837903292e-05,0.0
size_80x80_sigma_0.8_seed_123,0.8,6.22037746204981e-05,0.0
size_80x80_sigma_0.8_seed_123,0.8,6.289322874871728e-05,0.0
size_80x80_sigma_0.8_seed_123,0.8,6.305628481865626e-05,0.0
size_80x80_sigma_0.8_seed_123,0.8,6.403811666474754e-05,0.0
size_80x80_sigma_0.8_seed_123,0.8,6.418556841358383e-05,0.0
size_80x80_sigma_0.8_seed_123,0.8,6.420190432303585e-05,0.0
